,0
951,569480
952,1306630
953,1094520
954,982290
955,374190
956,718850
957,209000
958,712640
959,704270
960,1235740
961,1738232
962,597170
963,1911390
964,17470
965,819030
966,913740
967,557600
968,483840
969,1254120
970,382310
971,953490
972,1209120
973,1562940
974,1155980
975,1353060
976,243470
977,1449200
978,1745400
979,598190
980,201810
981,735730
982,960690
983,359320
984,1462810
985,1458100
986,250180
987,252110
988,1173810
989,595520
990,411893
991,1163550
992,380600
993,307960
994,803600
995,287390
996,834910
997,1295500
998,893720
999,418240
1000,1282210
1001,1236500
1002,1546670
1003,1960782
1004,712100
1005,1456820
1006,928960
1007,1940752
1008,1612780
1009,965220
1010,1289453
1011,1161580
1012,1837750
1013,420110
1014,1325860
1015,374040
1016,307690
1017,597820
1018,"363150,506800"
1019,48190
1020,1260520
1021,760160
1022,1738318
1023,384180
1024,1337860
1025,1328660
1026,1173800
1027,589290
1028,1776430
1029,1090150
1030,1702330
1031,1229490
1032,1303184
1033,1367550
1034,238460
1035,1195290
1036,1204130
1037,1738291
1038,39140
1039,1520620
1040,1211020
1041,1967640
1042,1293820
1043,95400
1044,3590
1045,20920
1046,1368820
1047,21690
1048,33230
1049,1726190
1050,848350
1051,515191
1052,1074320
1053,1348660
1054,503940
1055,889510
1056,1226510
1057,227940
1058,609320
1059,1472191
1060,1173790
1061,800270
1062,386360
1063,1307710
1064,436670
1065,22330
1066,324160
1067,990630
1068,498870
1069,1125020
1070,214490
1071,1515950
1072,1567110
1073,1804690
1074,1041320
1075,1040230
1076,448510
1077,1209470
1078,450540
1079,429660
1080,788100
1081,287290
1082,973580
1083,254700
1084,704850
1085,1009560
1086,2058650
1087,1940751
1088,209650
1089,779880
1090,289130
1091,606150
1092,761830
1093,1209471
1094,22330
1095,1166860
1096,875210
1097,793460
1098,1266840
1099,1034860
1100,861540
1101,911430
1102,746850
1103,246620
1104,1163590
1105,1726382
1106,350080
1107,1708680
1108,1911520
1109,4570
1110,1342330
1111,481510
1112,658850
1113,607080
1114,1359090
1115,1214810
1116,1174370
1117,1089980
1118,1852255
1119,1127400
1120,858810
1121,1613283
1122,"377160,435870,435880,435881,480630,480631,490650"
1123,1701060
1124,571740
1125,210970
1126,1461920
1127,1218210
1128,1539620
1129,1726381
1130,657200
1131,1463090
1132,573090
1133,1158180
1134,994730
1135,979110
1136,469600
1137,304214
1138,251290
1139,1017900
1140,1068820
1141,1151450
1142,330390
1143,1298140
1144,1235766
1145,638990
1146,738540
1147,"379430,768530,836900,883150,921950,977420,1033890"
1148,4700
1149,1335560
1150,1056960
1151,242920
1152,1947011
1153,1120320
1154,1670540
1155,1144400
1156,1960780
1157,1437000
1158,384190
1159,1135230
1160,282800
1161,1238760
1162,597760
1163,787860
1164,1345820
1165,1985930
1166,1553061
1167,1581451
1168,234140
1169,702540
1170,1847240
1171,212680
1172,502520
1173,1960781
1174,1883650
1175,629760
1176,1658720
1177,624270
1178,468920
1179,290340
1180,1104330
1181,939600
1182,"489830,1746860"
1183,235580
1184,2024230
1185,1803960
1186,7940
1187,1149620
1188,203770
1189,1201360
1190,420610
1191,1504500
1192,222940
1193,1426450
1194,1677740
1195,1021790
1196,1341702
1197,1042490
1198,961930
1199,1272160
1200,1622940
1201,265930
1202,1119730
1203,674140
1204,1519350
1205,1076200
1206,1153640
1207,1235761
1208,527430
1209,1584090
1210,1826960
1211,1454160
1212,240
1213,1282690
1214,249320
1215,1651960
1216,1741470
1217,282140
1218,1238762
1219,1547890
1220,337340
1221,1349400
1222,1067690
1223,1093700
1224,648100
1225,909720
1226,1913490
1227,885810
1228,488310
1229,16870
1230,34030
1231,917720
1232,512034
1233,1986060
1234,743890
1235,1151700
1236,2054412
1237,1798002
1238,637090
1239,1060220
1240,1123450
1241,724250
1242,1723950
1243,520440
1244,1450090
1245,332950
1246,1809490
1247,607890
1248,228280
1249,627690
1250,345800
1251,1921780
1252,456750
1253,1976460
1254,456670
1255,1493170
1256,322500
1257,1704460
1258,1745440
1259,488790
1260,220
1261,332570
1262,1414180
1263,885970
1264,684450
1265,804760
1266,1578950
1267,1137460
1268,688420
1269,221910
1270,229480
1271,673880
1272,1097200
1273,1140620
1274,995460
1275,359840
1276,1238040
1277,55150
1278,494840
1279,1173770
1280,536270
1281,1238761
1282,1106840
1283,790740
1284,1446360
1285,1450120
1286,1701720
1287,530711
1288,1281330
1289,265550
1290,1608440
1291,849260
1292,1358140
1293,592373
1294,460790
1295,70
1296,1836860
1297,866800
1298,807120
1299,1372280
1300,893180
1301,488860
1302,1476970
1303,207610
1304,388470
1305,1105420
1306,412830
1307,1850550
1308,999020
1309,850320
1310,1386616
1311,1380420
1312,496240
1313,1359320
1314,1840320
1315,1162601
1316,1481080
1317,1738208
1318,400910
1319,690510
1320,427730
1321,1337010
1322,1552550
1323,647830
1324,1404210
1325,1817370
1326,1424330
1327,1097840
1328,745920
1329,916000
