,0
1617,1449260
1618,1946960
1619,1408020
1620,628080
1621,1631380
1622,1134570
1623,24780
1624,1819310
1625,849261
1626,910490
1627,292120
1628,1235742
1629,1611940
1630,804490
1631,587100
1632,1347610
1633,1383250
1634,1444650
1635,200210
1636,1497950
1637,1292940
1638,1685720
1639,1842690
1640,1389360
1641,839770
1642,382110
1643,1621070
1644,219150
1645,1284410
1646,1621460
1647,526160
1648,291650
1649,1351630
1650,882100
1651,1760190
1652,1604000
1653,319510
1654,1685721
1655,1271680
1656,1296830
1657,1591530
1658,889770
1659,360430
1660,1123830
1661,383980
1662,1785010
1663,757320
1664,1773800
1665,259680
1666,1904040
1667,1867630
1668,1251000
1669,1022850
1670,495140
1671,1748990
1672,956030
1673,692890
1674,1235751
1675,15100
1676,376680
1677,511680
1678,860950
1679,1492680
1680,627270
1681,589780
1682,555220
1683,1122720
1684,432350
1685,1202900
1686,474960
1687,427290
1688,282400
1689,113200
1690,677340
1691,222480
1692,859570
1693,1278390
1694,1367300
1695,206420
1696,907370
1697,784150
1698,925750
1699,884101
1700,1368210
1701,1315140
1702,1858305
1703,932850
1704,976890
1705,907650
1706,1022450
1707,1235747
1708,1293080
1709,1530640
1710,8980
1711,1178490
1712,288160
1713,1945682
1714,12200
1715,1461850
1716,1514840
1717,1328890
1718,65980
1719,1923670
1720,307780
1721,1710580
1722,1901750
1723,304650
1724,1929870
1725,1403370
1726,20900
1727,1939350
1728,1423900
1729,859580
1730,1557780
1731,1175830
1732,260210
1733,738520
1734,891230
1735,365450
1736,816340
1737,244160
1738,540710
1739,445220
1740,1123050
1741,337320
1742,407130
1743,334310
1744,418460
1745,241260
1746,1315150
1747,729000
1748,526060
1749,1348390
1750,220440
1751,110800
1752,1585820
1753,622650
1754,428660
1755,1073320
1756,345350
1757,1399240
1758,1531471
1759,619680
1760,603850
1761,442120
1762,1233270
1763,937892
1764,982970
1765,312750
1766,367450
1767,1146830
1768,1043260
1769,375820
1770,1321450
1771,540711
1772,1499120
1773,320240
1774,1232460
1775,978300
1776,1432910
1777,1089270
1778,222420
1779,1876990
1780,1819400
1781,1843090
1782,310031
1783,1385380
1784,774791
1785,785790
1786,248610
1787,1259360
1788,486570
1789,837510
1790,1032760
1791,1969380
1792,1151440
1793,1232252
1794,2640
1795,1798071
1796,1079180
1797,1017180
1798,702890
1799,757310
1800,558990
1801,1255560
1802,1343400
1803,1098120
1804,543460
1805,1030210
1806,1613284
1807,1797340
1808,1140270
1809,1044620
1810,1189630
1811,1222370
1812,1062830
1813,587110
1814,1076160
1815,952890
1816,1708520
1817,1722280
1818,1644210
1819,373930
1820,471550
1821,1149550
1822,826940
1823,614570
1824,222440
1825,1524820
1826,1493470
1827,1129050
1828,1086481
1829,798490
1830,1061350
1831,282470
1832,1250
1833,1074080
1834,1028270
1835,274190
1836,1038370
1837,1052990
1838,821090
1839,385511
1840,744190
1841,297130
1842,1859280
1843,1203710
1844,995780
1845,332800
1846,1164250
1847,1890520
1848,794800
1849,416420
1850,425580
1851,1108410
1852,2280
1853,1280930
1854,684630
1855,440820
1856,1209490
1857,801630
1858,248390
1859,622450
1860,268650
1861,1225330
1862,332350
1863,1753181
1864,71340
1865,674500
1866,1173200
1867,1990860
1868,319630
1869,1225560
1870,1580780
1871,213670
1872,1936590
1873,1405470
1874,382140
1875,1767560
1876,1180380
1877,1038250
1878,768830
1879,1553060
1880,572890
1881,1781030
1882,1535220
1883,375480
1884,203140
1885,257510
1886,519860
1887,1036760
1888,1906330
1889,611660
1890,866140
1891,335300
1892,261030
1893,1078350
1894,1202061
1895,1769170
1896,1782330
1897,515960
1898,277590
1899,273300
1900,1201240
1901,644830
1902,496300
1903,1133000
1904,1058140
1905,606800
1906,1544020
1907,554381
1908,558245
1909,1360000
1910,798390
1911,1798072
1912,988910
1913,1580760
1914,304380
1915,1224940
1916,228180
1917,238370
1918,99611
1919,1039880
1920,1586100
1921,1559390
1922,1235750
1923,1164050
1924,1315610
1925,1787820
1926,326460
1927,368070
1928,1571440
1929,794600
1930,704450
1931,743450
1932,55230
1933,235584
1934,1368570
1935,694880
1936,40700
1937,1262540
1938,1286880
1939,383870
1940,953660
1941,848480
1942,1090200
1943,1498090
1944,1199880
1945,966690
1946,1449310
1947,343780
1948,978780
1949,24790
1950,1494470
1951,420
1952,645630
1953,1144410
1954,1259840
1955,1295340
1956,283740
1957,700280
1958,1929360
1959,297000
1960,865830
1961,386070
1962,1235752
1963,1412470
1964,1076850
1965,1167140
1966,1202052
1967,766870
1968,595690
1969,1145960
1970,710490
1971,941460
1972,1205450
1973,571710
1974,2630
1975,954740
1976,1026680
1977,200260
1978,1377080
1979,1906240
1980,99610
1981,1239020
1982,848030
1983,1317230
1984,16868
1985,380
1986,1455660
1987,350640
1988,1732740
1989,1139940
1990,225340
1991,770810
1992,949290
1993,16866
1994,366090
1995,1839450
1996,368360
1997,416421
1998,1364100
1999,682990
2000,973810
2001,458710
2002,1070820
2003,1385100
2004,629520
2005,899970
2006,1330460
2007,324800
2008,1114561
2009,554000
2010,940220
2011,1486710
2012,976900
2013,1235767
2014,1020470
2015,586140
2016,1173010
2017,356650
2018,212500
2019,759130
2020,1205970
2021,1477830
2022,573160
2023,24800
2024,1544404
2025,200710
2026,1301021
2027,1443091
2028,1433570
2029,427100
2030,416600
2031,1726384
2032,1545450
2033,1475530
2034,1408230
2035,239120
2036,375910
2037,1644150
2038,1732390
2039,1432860
2040,1961300
2041,1782150
2042,700282
2043,355790
2044,681280
2045,651670
2046,491540
2047,1788210
2048,48000
2049,962730
2050,885150
2051,248820
2052,262410
2053,1174400
2054,1947000
2055,865820
2056,1891090
2057,459220
2058,1299530
2059,16810
2060,351970
2061,1619191
2062,1227690
2063,246420
2064,1390350
2065,32470
2066,280
2067,536220
2068,940910
2069,1040420
2070,32440
2071,378648
2072,108710
2073,1257410
2074,1967690
2075,433091
2076,1252600
2077,1233570
2078,1430610
2079,1436590
2080,1017510
2081,588430
2082,208200
2083,387020
2084,1049890
2085,732690
2086,1644490
2087,1235757
2088,1588530
2089,1349230
2090,1086480
2091,1401490
2092,334540
2093,1196150
2094,394690
2095,235585
2096,531131
2097,241930
2098,1164110
2099,494150
2100,45760
2101,1294760
2102,878461
2103,1076080
2104,1088090
2105,250320
2106,1222800
2107,850000
2108,1041720
2109,1979540
2110,606880
2111,532110
2112,1357860
2113,1042920
2114,399810
2115,377300
2116,702670
2117,1024380
2118,1330420
2119,2600
2120,1575660
2121,1317250
2122,1194010
2123,559210
2124,878464
2125,584097
2126,711540
2127,963060
2128,1223060
2129,292140
2130,285310
2131,1726383
2132,321960
2133,416422
2134,574720
2135,476420
2136,537800
2137,562810
2138,563840
2139,1456180
2140,1052690
2141,704710
2142,1601350
2143,1493760
2144,467980
2145,688130
2146,1425730
2147,662351
2148,1088640
2149,731490
2150,99612
2151,304240
2152,296710
2153,981890
2154,24810
2155,552700
2156,1009820
2157,1056490
2158,448280
2159,204880
2160,525480
2161,1432640
2162,888650
2163,1879380
2164,424030
2165,710920
2166,1443092
2167,797430
2168,607050
2169,1575820
2170,1443089
2171,1662380
2172,1144582
2173,1135810
2174,1843760
2175,1590910
2176,1235762
2177,"287700,406540,406560,406580,406590,406600,406610,406620,436030,436040,436050,437230,437231"
2178,315460
2179,1154040
2180,1487390
2181,601670
2182,1574270
2183,433090
2184,1918450
2185,1786200
2186,1681170
2187,278890
2188,1267540
2189,1292040
2190,1188790
2191,1781510
2192,971630
2193,466300
2194,1901420
2195,32360
2196,737780
2197,1235753
2198,1670120
2199,311290
2200,813630
2201,678800
2202,1751920
2203,889600
2204,1777620
2205,1461600
2206,1430990
2207,1705820
2208,1149440
2209,1186400
2210,1244781
2211,1133590
2212,1582680
2213,920571
2214,690040
2215,1819320
2216,878460
2217,994280
2218,1984600
2219,1104660
2220,1075740
2221,1926230
2222,1111370
2223,1018830
2224,1718870
2225,672630
2226,604540
2227,656350
2228,1206340
2229,939840
2230,1619010
2231,620590
2232,388090
2233,1770580
2234,750381
2235,1235758
2236,1031120
2237,495050
2238,1004490
2239,1286280
2240,1574601
2241,1150950
2242,521890
2243,1587540
2244,616560
2245,1740000
2246,1438980
2247,909080
2248,1618230
2249,1108590
2250,285920
2251,965680
2252,1715130
2253,405900
2254,1489970
2255,1203420
2256,1792250
2257,7670
2258,1852235
2259,1848180
2260,1668110
2261,857980
2262,1323470
2263,1163770
2264,288470
2265,887570
2266,585420
2267,1227350
2268,673610
2269,872280
2270,1502380
2271,1184050
2272,1975360
2273,1162600
2274,838350
2275,1280780
2276,1671350
2277,273380
2278,1914490
2279,17410
2280,402620
2281,829110
2282,894940
2283,35720
2284,357190
2285,1182110
2286,212070
2287,584096
2288,435120
2289,665300
2290,415200
